V1,flag,B1_4_7,B5_4_7,L_4_7,loc.B5_4_7,B1_B5_angle_4_7,NPA_1,NPA_3,NPA_2,NPA_18,NPA_27,NPA_29,diff_NBO_1_3,diff_NBO_2_18,diff_NBO_27_29,dip_x_1,dip_y_1,dip_z_1,Total_1,dip_x_2,dip_y_2,dip_z_2,-1-3-,-2-18-,-27-29-,cross_1,cross.angle_1,para_1,para.angle_1,-5V6-,-23V24-,-25V26-,Dihedral(1_4_7_8),Dihedral(1_2_19_27),"Dist(1, 3)","Dist(2, 18)","Dist(27, 29)",class
m_OMe,11,1.7,4.55,7.08,5.84,93,0.68802,-0.63135,-0.61881,0.43493,0.78544,-0.56138,1.31937,-1.05374,1.34682,1.3622,-1.2072,0.2797,1.8415,-0.2554,-1.2302,1.3463,1778.6364,3596.7566,1905.0801,1657.4478,69.9282901323164,1686.2286,20.8621942530789,1462.6822,1500.435,1532.4726,94.2920828843383,173.705396224276,1.21519380464969,1.01108277699158,1.19230670066472,2
m_SMe,12,1.7,4.5,7.62,4.36,92,0.68767,-0.63026,-0.61851,0.43429,0.78537,-0.56145,1.31793,-1.0528,1.34682,0.879,-1.0445,0.1824,1.3772,-0.1369,-1.0503,0.8804,1778.1802,3599.6197,1904.7262,1644.1281,72.645032011812,1669.5939,19.5946889346252,1461.753,1500.3706,1532.908,94.1262186081824,173.037158818216,1.21500573002311,1.01097590775794,1.19234591226749,1
mm_CF3,13,2.32,4.91,7,3.59,86,0.68875,-0.62675,-0.60714,0.42208,0.78635,-0.56443,1.3155,-1.02922,1.35078,0.8202,1.869,-1.0132,2.2787,1.6536,0.7368,-1.3838,1785.8196,3620.1343,1903.3841,1694.7275,68.5719872742602,1691.4846,20.5760448172667,1478.6798,1500.6811,1533.5472,64.8630134942523,175.674060583075,1.21416052516049,1.00977502317348,1.19294652093839,1
mp_Cl,14,1.76,4.54,7.82,4.4,93,0.69027,-0.62785,-0.61129,0.42088,0.7869,-0.56568,1.31812,-1.03217,1.35258,-0.1901,0.9719,-0.4915,1.1056,0.7803,-0.1004,-0.7768,1784.3613,3620.084,1902.1894,1635.0892,88.7166276455556,1664.9355,4.35252580162357,1483.0464,1500.0202,1533.7773,61.2645527297525,177.360287336249,1.21474364511612,1.00950706556022,1.19306922855507,2
o_Br,15,1.77,4.81,6.39,1.34,94,0.69363,-0.61695,-0.61709,0.42047,0.78694,-0.56499,1.31058,-1.03756,1.35193,-2.8041,-0.7402,-0.7872,3.0051,-1.5218,1.7041,1.9522,1797.7991,3602.8207,1903.4856,1644.9456,83.6095969350752,1671.0516,3.13620931485145,1463.3148,1499.9356,1533.9076,70.0133459155693,170.669522778824,1.21171497289792,1.0109574426394,1.19282009232994,1
o_Cl,16,1.73,4.51,6.38,1.37,92,0.69358,-0.61779,-0.61663,0.42024,0.78696,-0.56491,1.31137,-1.03687,1.35187,-2.697,-0.7094,-0.7999,2.9012,-1.5208,1.6377,1.8499,1797.4039,3606.1648,1903.589,1650.0472,81.8665579627181,1673.576,5.14299851134896,1463.3862,1499.5384,1533.6295,68.3860049066454,172.064235375545,1.21185300355695,1.01071924981619,1.19280271625864,1
o_F,17,1.7,3.69,6.38,1.45,90,0.69097,-0.61783,-0.61468,0.42017,0.78698,-0.56469,1.3088,-1.03485,1.35167,-2.4441,-0.5503,-0.8904,2.6589,-1.4022,1.461,1.723,1797.6608,3611.5408,1903.8829,1667.3575,85.1040282842753,1695.0407,5.62962940893213,1461.4399,1500.0344,1532.7402,64.2164569238224,174.573215632938,1.21195987333822,1.01017515721037,1.1927624781305,2
o_I,18,1.82,5.2,6.39,1.31,96,0.69279,-0.61556,-0.61788,0.4206,0.7869,-0.56541,1.30835,-1.03848,1.35231,-2.7306,-0.6173,-0.7735,2.9044,-1.3071,1.6558,1.9963,1798.1552,3595.3978,1902.9965,1640.0042,83.2224340170922,1665.0768,3.18939173963269,1466.3155,1500.3838,1532.6756,71.8348122454548,168.691492298847,1.21158262037304,1.01119165433908,1.1929151603773,2
o_Naph,19,1.7,5.61,6.44,1.78,90,0.68793,-0.6128,-0.62155,0.41853,0.78663,-0.56675,1.30073,-1.04008,1.35338,-1.5022,0.109,-0.8459,1.7274,-0.2716,1.0541,1.3413,1798.4366,3616.5161,1901.59,1706.3745,88.4178457211024,1660.2019,9.35851048608078,1467.0105,1500.3752,1532.893,69.5999484036975,171.820582001758,1.21127552095921,1.00988004746554,1.19320565480809,2
o_nitro,20,1.76,4.79,6.4,2.31,101,0.7028,-0.62884,-0.6136,0.4207,0.78772,-0.56436,1.33164,-1.0343,1.35208,-4.3059,-2.2795,-1.3688,5.0606,-3.1648,1.0463,3.8079,1793.9345,3600.9782,1904.401,1651.5846,75.9596297760896,1706.7997,7.42616923750498,1456.9611,1500.3561,1534.5051,51.4533562131086,174.243570927014,1.21310326966256,1.01099470968744,1.19267136659643,2
p_amine,21,1.7,3.17,7.22,4.13,90,0.6922,-0.63274,-0.61556,0.41961,0.78711,-0.5657,1.32494,-1.03517,1.35281,1.1028,-2.8642,-0.8824,3.1934,0.1257,0.6054,3.133,1781.812,3626.8766,1903.0473,1654.8743,86.2382530679738,1694.6922,1.60407894699666,1483.3748,1500.5129,1533.1172,63.0941282800821,178.606748045994,1.21574459913956,1.00914590188486,1.19292471829994,1
p_azide,22,1.7,3.63,8.66,6.96,91,0.69147,-0.63044,-0.61289,0.42034,0.78686,-0.56549,1.32191,-1.03323,1.35235,0.9783,0.1494,-0.3769,1.059,0.2507,1.0289,-0.0014,1783.6541,3624.2378,1902.7852,1650.6188,85.1664436542475,1684.2776,4.8277259054479,1484.5631,1500.6585,1533.3304,64.5905942645396,177.031142688179,1.21511007769543,1.00936745365699,1.19298430628445,2
p_boc,23,2.22,4.11,12.14,8.27,142,0.69213,-0.63309,-0.61347,0.42037,0.78679,-0.56484,1.32522,-1.03384,1.35163,2.774,-3.1164,-0.1372,4.1744,-1.0425,2.3883,3.2612,1781.4989,3624.9062,1903.5513,1659.25,87.0802760709462,1691.331,3.97713126821843,1484.3208,1500.7599,1533.5942,63.4547858021596,177.150274735561,1.21566526925054,1.00922824640861,1.19282843505887,1
p_Br,24,1.89,3.16,8.13,4.13,100,0.69119,-0.62915,-0.6124,0.42049,0.78687,-0.56552,1.32034,-1.03289,1.35239,0.9935,0.5048,-0.4354,1.1964,0.4169,1.0737,-0.3237,1784.4709,3623.3928,1902.7064,1647.1637,85.6087092339345,1667.5228,4.82611101657148,1484.2949,1500.526,1532.9926,64.0484433098636,176.996444315718,1.21488197666975,1.00943059451307,1.19300938349914,2
p_Cl,25,1.74,3.16,7.82,4.14,93,0.6912,-0.6294,-0.61263,0.42047,0.78692,-0.56556,1.3206,-1.0331,1.35248,1.0108,0.4048,-0.394,1.1579,0.3505,1.0799,-0.2274,1784.2283,3622.3207,1902.4907,1648.6555,87.6904284891609,1671.9781,2.20685239473053,1483.6412,1500.2678,1533.68,63.712871996758,177.330757211611,1.21495642598613,1.00942719514138,1.193013153873,2
p_CN,26,1.7,3.16,8.58,4.13,90,0.69059,-0.62746,-0.61029,0.4213,0.7867,-0.56507,1.31805,-1.03159,1.35177,0.9316,3.5926,-0.6974,3.7764,1.7369,1.0295,-3.1913,1785.3252,3621.4166,1902.6984,1639.8328,89.8872559138296,1684.5153,0.973335940510122,1483.6051,1500.0549,1532.6321,63.712188760081,176.755088966285,1.2144599236706,1.0096173813485,1.19301294497713,1
p_F,27,1.7,3.15,6.96,4.15,90,0.69118,-0.6304,-0.61301,0.42024,0.78693,-0.56567,1.32158,-1.03325,1.3526,0.998,0.1596,-0.3656,1.0748,0.2463,1.0462,-0.0068,1783.4856,3625.2944,1902.4728,1671.8277,88.3269296119991,1686.5743,1.57206814154368,1483.5622,1500.0072,1533.3174,64.2621172341385,177.298218875454,1.21513023317626,1.00935590621842,1.19301823978722,2
p_I,28,2.09,3.16,8.53,4.13,110,0.69122,-0.62935,-0.6124,0.42066,0.78694,-0.56537,1.32057,-1.03306,1.35231,1.0436,0.3435,-0.3361,1.149,0.306,1.0958,-0.1602,1783.8456,3623.7761,1902.9475,1640.7778,85.4148887315413,1662.583,3.78464168015033,1484.2313,1500.4999,1532.672,61.9545102726803,177.797496176436,1.21503452446628,1.00942549399448,1.19297885366464,2
p_Me,29,1.79,3.16,7.33,4.12,92,0.6921,-0.63037,-0.61455,0.4201,0.78701,-0.56547,1.32247,-1.03465,1.35248,1.1427,-1.8954,-0.019,2.2133,-0.5177,0.7751,2.0075,1783.7873,3625.488,1902.843,1649.7955,89.2441348303148,1689.98,0.497166290500661,1483.6441,1500.0308,1533.045,62.9159814320633,178.200630754686,1.21532754946722,1.00926776659368,1.19292241369714,1
p_nitro,30,1.7,3.15,7.65,4.15,90,0.6904,-0.6268,-0.60979,0.42153,0.78664,-0.56492,1.3172,-1.03132,1.35156,0.9259,3.6658,-0.7581,3.8562,1.8632,0.9847,-3.2294,1785.8504,3619.4241,1902.8113,1653.0396,89.9529730468377,1675.1541,0.846251194940822,1483.5624,1501.2012,1533.236,63.5977789494965,176.645250408206,1.21431074519169,1.00968187297435,1.19300001187971,2
p_OEt,31,1.78,3.17,9.5,4.11,95,0.69239,-0.63221,-0.6146,0.41979,0.78701,-0.56558,1.3246,-1.03439,1.35259,2.1802,-2.2903,-0.1115,3.1641,-0.7964,1.8398,2.4479,1782.4686,3626.4636,1902.7554,1652.6847,81.2754603325787,1689.4671,8.47606949070617,1485.3253,1499.0377,1533.5697,65.2472177352356,177.619559441928,1.21549119476078,1.00918987793626,1.19294188682098,1
p_OH,32,1.7,3.16,7.02,4.13,90,0.69198,-0.63276,-0.6139,0.41995,0.78691,-0.56546,1.32474,-1.03385,1.35237,2.3283,-1.5206,-0.2074,2.7886,-0.5673,2.1629,1.6663,1782.1924,3626.3074,1902.8597,1669.0056,78.1589327569116,1691.1491,9.56301447699059,1483.4238,1501.0184,1533.3079,64.7788257207188,177.133760389644,1.21553383522138,1.00922893213383,1.1929370224643,1
p_OMe,33,1.75,3.17,8.45,4.12,93,0.69233,-0.63247,-0.61439,0.41987,0.78696,-0.56542,1.3248,-1.03426,1.35238,2.2187,-2.0766,-0.1078,3.0407,-0.7284,1.9172,2.2449,1782.2095,3626.6514,1902.7655,1653.8009,81.6542497239911,1689.2017,8.01993192843226,1483.1984,1501.0803,1533.8726,64.5149283384489,177.754195164429,1.21555180260571,1.00917656671021,1.1929304016924,2
p_Ph,34,2.07,3.23,10.68,8.41,111,0.6921,-0.62961,-0.61383,0.42016,0.78695,-0.56551,1.32171,-1.03399,1.35246,1.047,-1.5298,-0.2083,1.8654,-0.3295,0.8539,1.6255,1784.1877,3624.5863,1902.8269,1635.5392,89.2969433274744,1686.9009,0.581986802459329,1484.8973,1501.1773,1533.328,64.389082725019,177.337347761391,1.2150436391052,1.00930740344109,1.19296342450471,2
p_SCF3,35,1.7,4.01,9,5.8,155,0.69096,-0.62783,-0.6111,0.42097,0.78682,-0.56546,1.31879,-1.03207,1.35228,0.9926,1.3606,0.6534,1.8065,-0.3471,0.994,-1.4679,1784.6962,3619.8088,1902.3512,1638.7801,88.6647967805537,1669.1512,1.14871558888879,1483.9047,1500.4912,1532.7515,63.0044187645357,176.824715455282,1.2146543337205,1.00949732369829,1.19303993503906,2
p_SMe,36,1.74,3.36,8.67,6.22,116,0.69212,-0.63084,-0.61401,0.42005,0.787,-0.56562,1.32296,-1.03406,1.35262,2.3248,-1.4216,-0.2361,2.7352,-0.5387,2.1567,1.5936,1783.2872,3624.8969,1902.7127,1635.0206,88.226005401404,1675.4413,1.84198358945323,1484.3679,1501.015,1532.6976,65.9067895844007,177.336901433711,1.21519117700961,1.00928263807915,1.19298178014461,2
p_tfm,37,2.07,3.16,7.69,4.13,109,0.69087,-0.6278,-0.61147,0.42091,0.78679,-0.56538,1.31867,-1.03238,1.35217,0.8851,1.683,-0.5497,1.9794,0.9082,1.0267,-1.428,1785.3266,3619.9119,1902.7347,1659.9393,86.6821682065949,1694.9655,2.03470295579042,1484.6535,1498.457,1532.797,63.7899715763312,176.726508835454,1.21461234741419,1.00954694714213,1.193020453797,2
penta_F,38,1.7,3.75,6.97,4.22,91,0.68805,-0.61188,-0.61394,0.42032,0.7866,-0.56477,1.29993,-1.03426,1.35137,-1.43,1.2835,-0.6798,2.0383,1.761,-0.0621,1.0244,1800.7613,3605.0963,1902.9737,1711.4172,89.4894288601486,1728.4066,1.43218486965359,1468.655,1500.8563,1532.7436,105.746326995372,175.288076000738,1.21092521757952,1.01068690717353,1.19294018202674,2
